Gq5jmEqlHZA	If you're feeling anxious about the KOSPI at 4,000, pay attention [Moraguhyo]	NA
Hy09L1YxGxo	data center	NA
n4u8qhhztF8	Why did Warren Buffett recommend index investing to his wife? | Lee Hyo-seok Academy Original CEO...	NA
HvNbD8s51X8	My Honest Thoughts on the Investment Market Right Now | Weekly News for the 4th Week of October	NA
TAmArR9R_V4	Amidst explosive electricity demand, Lee Joo-sik comes to mind first. Kim Hyo-sik, Team Leader, S...	NA
IQZPLOur-8s	This Stock, Leading America's Next Power Revolution, Is Hot | Kim Hyo-sik, Team Leader, Samsung A...	NA
nTLK5Cq6U5E	The scenario where AI fails is likely due to OpenAI [Review Effect]	NA
MtPYqx9LBPQ	World War III Scenarios We Don't Want to Imagine | Dr. Lee Cheol [Part 3]	NA
zVZoUDyrh38	Trump's antics are all because of 'this' | Dr. Lee Cheol [Part 2]	NA
BTDWt_XvgL0	China's mindset is that if they do it this way, they'll beat the US. | Dr. Lee Cheol [Part 1]	NA
Wn7_CP77HLA	Since you asked so bluntly, I answered frankly. | Week 4 of October Z1 News - Part 2	NA
zVqYbHerJLA	Is Gold Still a Safe Haven? The Biggest Plunge in 12 Years | Z1 News, Week 4 of October - Part 1	NA
_sNgzP0A2jg	Buffett: Follow Buffett without thinking and you'll end up with a torn leg | Lee Hyo-seok Academy...	NA
zlWydvGUjQY	The Age of AGI	NA
tTrWrlwQUng	In times like these, you need to hold on tighter to your senses. [Moraguhyo]	NA
LGfS2LOVeXk	If you want to be happy, remember just two things | Lee Hyo-seok Academy Original	NA
tr2CwV4D0xU	My thoughts on exchange rates and interest rates have changed | Oh Geon-young, Shinhan Premier Pa...	NA
UB7QTW3lPtU	Subprime 2.0: JP Morgan's Warning | Weekly News for the Third Week of October	NA
gk4x2VnOz3w	[Breaking News] The Shocking Reasons for Bitcoin's Weakness	NA
QiY-4NFWglY	Semiconductors still have a long way to go. Hurry up and get the full video from the October issu...	NA
g6iOm6Ls29c	Alex Karp lands in Seongsu-dong! Why did B2B company Palantir open a pop-up store? | Z1 News, Wee...	NA
0QLIZCCuBXA	Why We Continue to Invest in AI While Crying About the AI ​​Bubble | Z1 News, Week 3 of October -...	NA
ioNV0-m3lz0	JP Morgan War Preparations	NA
F4vw3BsnU04	My Honest Thoughts on the Current Exchange Rate | Oh Geon-young, Head of Shinhan Premier Pathfind...	NA
RDZhOQMPc6U	The grand opening of China's capital markets will be a frightening start. Oh Geon-young, Head of ...	NA
5GqHBUmMH58	The Real Reason Trump Wants to Overthrow the Fed | Oh Geon-young, President of Shinhan Premier Pa...	NA
WEfUBHGgQ7g	The Real Reason the US Is Pressuring Japan to Raise Interest Rates | Oh Geon-young, Head of Shinh...	NA
jjUPgYXjnyk	A Replay of the 2010 Nightmare: Signs of a European Financial Crisis | Oh Geon-young, General Man...	NA
6UhdBLOq304	[Breaking News] Why the KOSPI is falling despite Samsung Electronics' strong performance.	NA
o4VWH3FCEvo	I've never seen anything like this before. Please hurry up and buy semiconductors. Monthly Asin, ...	NA
_d-TdZQQsGo	OpenAI Chooses AMD Over Nvidia, Bringing a New Wind to the GPU Market - Monthly Asin, October 2nd...	NA
THLYsuef61o	Hold on to semiconductor stocks until the first half of next year ⎮ Monthly Asin October Part 1 [...	NA
2HyYDhqAWdA	[Breaking News] Will Trump's TACO appear to prevent a sharp decline?	NA
UoVls7kvdDY	Soaring gold prices and war	NA
pwRe1j7yx3k	The reason the KOSPI rose despite the rising exchange rate [I don't know]	NA
px66JWtq-qk	[Breaking News] Nasdaq plunges amid Trump's hardline policies.	NA
gijdAASmvBo	[Breaking News] A comprehensive summary of global financial market issues during the Chuseok holi...	NA
do70qvN6q88	If you don't understand Trump's inner workings, you won't make money easily. Park Seok-joong, Hea...	NA
J2OY25RRit0	[Breaking News] Anyone skeptical of AI, be sure to watch this video.	NA
D033OUtJ9B4	Just think about this and you'll double your returns. Lee Eun-taek, Team Leader, KB Securities [F...	NA
_vEEwoIVU2E	Warren Buffett always teaches us how to make money. | CEO Jung Joo-yong	NA
MHlSNaE9X5M	AMD Stock Soars 23% After Chip Deal with OpenAI	NA
5j3Vzv7glpg	[Breaking News] Japan's Prime Minister Sanae is a strong contender for the title, and Japan is pr...	NA
J_uysvAqwQA	'그들'이 재설계하는 미국은 100년 넘게 앞서갈 겁니다ㅣ이병한 작가 [풀영상]	NA
3YGcN0oegU8	[Breaking News] Why Bitcoin's latest surge is different	NA
k6YDyyze9aI	JustHyo for those hesitant to invest in Bitcoin [JustHyo Bitcoin Review]	NA
miXZUQOau6w	아직도 비트코인 투자를 망설이는 분들을 위한 영상 [비트코인 전문가 인터뷰 몰아보기]	NA
fJvvVNGQuWo	If I had 100 million won to invest right now, I'd definitely do it here. Park Seok-joong, Head of...	NA
_vyC3-a0QxA	Why You'll Continue to Become Poor in Korea If You Only Rely on Your Salary | Park Seok-joong, He...	NA
bmXezChySaQ	If I were you, I would never invest in index funds right now. Park Seok-joong, Head of Department...	NA
UN4BGxMrOdc	The One Company Threatening NVIDIA: Here's Shin Hyung-kwan, CEO of China Capital Research Institu...	NA
OLO02sXIHdA	Still not investing?	NA
QfrD0Sj8QsY	All the money in Silicon Valley is pouring into this place | Choi Jung-hyuk, CEO of Palo Alto Cap...	NA
_te5Tztwv3c	Gold is rising, but why is Bitcoin, the digital gold, lagging? | Week 1 of October, Z1 News - Part 2	NA
knBGEt2sBCg	The secret meeting between Chairman Choi Tae-won and Sam Altman, which caused Hynix to surge 10% ...	NA
HV8sG-r-Jmw	[Breaking News] NVIDIA's Slope: Let's Try Jensen Huang's Bing	NA
MpDA4Me3rfk	If you're wondering which dividend stocks to buy, consider investing in a dividend ETF. [Hanna ETF]	NA
dvuQMtQ-Kog	If the US does just this, market liquidity will explode | Weekly News, Week 5 of September	NA
3KShSm3Y_60	This is how successful people deal with inflation. Lee Eun-taek, Team Leader, KB Securities [Part 2]	NA
ukr_2TYV0kI	Start with this now and double your assets this week. Lee Eun-taek, Team Leader, KB Securities [P...	NA
0fGbUGxQlQE	Old preferred stock	NA
A5zS0FplYF0	[Breaking News] Why Panic Has Seized the Crypto Market	NA
SQ4FsBZqrJY	China is no longer hiding, and Trump is after this | Shin Hyung-kwan, Director of the China Capit...	NA
BXFtZ0NJ85M	화웨이가 이상하네요 큰 걸 터뜨릴 것 같습니다ㅣ신형관 중국자본연구소 대표 [1부]	NA
O8TwHRWfBrM	[Breaking News] The exchange rate has broken through the 1,400 won level. This is what matters.	NA
1Ylj2A9AW2A	Little Buffett, British Buffett, Female Buffett, and Three Buffetts share tips for making a killi...	NA
4C0EX5iVP2I	Jensen Huang and Sam Altman's Secret Meeting | Z1 News, Week 4 of September	NA
VIOhRCtmAvE	[Breaking News] Attention to those concerned about the volatile coin market!	NA
u5CBc_8iHRc	Separate taxation of dividend income	NA
ltKTWjVV0eI	The End of Silicon Valley? Big Tech Strikes a Blast | Weekly News for the 4th Week of September	NA
PoN0TMVKpAU	Why We Must Adopt Rep. Lee So-young's Reform Plan | Lee Chang-hwan, CEO of Align Partners Asset M...	NA
unwzyemorZs	semiconductor war	NA
GoN2-q_PtS4	3 Things You Need to Know About the Unprecedented Federal Government Shutdown [Moraguhyo]	NA
oFipV8iM9gQ	Why Palantir is the "Levi's" of the AI ​​Era | Byun Woo-cheol, Head of KT Headquarters [Part 4]	NA
FETTD-DnzYk	Palantir Ontology: No More Explanation | Woo-cheol Byun, Head of KT Headquarters [Part 3]	NA
T0p6xl9Uj_Q	Why Domestic Companies Don't Use Palantir, Which Saves Billions | KT Headquarters Director Byun W...	NA
_CQfTYSXHzc	The Story of Korea's First Domestic Palantir Launch: KT Head of Headquarters Byun Woo-cheol [Part 1]	NA
KikNK4yHxAM	Why All Jews Are Rich	NA
sDi66Hb0SQY	[Breaking News] It seems the worst villain in the FOMC's 100-year history has emerged.	NA
NLITw-ZEGkE	금리가 중요한게 아니라고 했죠? 더 중요한게 있어요 [먼슬리구루 9월 3부-캐시우드]	NA
57EAZi-pRhQ	This company is going up sixfold. Little Buffett's fiery advice [Monthly Guru, September Part 2 -...	NA
JzBV0RPaeck	3 Principles for Making Money Through Investing [Monthly Guru, September 1 - Chris Horn]	NA
VPTUS7SLOYs	SK Hynix, Samsung Electronics: A must-watch for those who missed the last train! [Hanna ETF]	NA
oJdwGFatBUY	[Breaking News] Interest Rate Cut Day 1: A Suspicious Message Suddenly Appears	NA
WZZT2eHZwFs	10년전에 AI 아무도 몰랐죠? 지금 양자컴이 그래요ㅣ정지훈 박사 [풀영상]	NA
Xf6eigC9EuY	The 'Fatal Problem' with the Government's Dividend Tax Reform Plan | Lee Chang-hwan, CEO of Align...	NA
X25IVZQdanM	Why We Must Implement Representative Lee So-young's Reform Plan | Lee Chang-hwan, CEO of Align Pa...	NA
b3UEg8RT_FQ	Tesla's meteoric rise: The real game starts now | Week 3 of September	NA
yxh5tade5RM	The British Empire, on which the sun never set, lost its throne to Germany. Professor So Hyun-chu...	NA
hSSehJ53wdQ	Tesla 3.0	NA
V00PiPmftiM	I think a bubble is coming. I'll invest like this.	NA
N5dpUwbTJDc	Musk's Return: Will Tesla's Real Rise Begin? (feat. September Investment Strategy)	NA
AXbhUR9luY8	When everyone else is quiet, a great opportunity always arrives | Economic commentator Yoon Ji-ho	NA
t_OGZLh53BQ	Why China's Yuan Stablecoin Won't Succeed | Z1 News, Week 2 of September	NA
_iMAwBtNg4I	The Age of Quantum Computers is Coming. Invest in Companies Like These | Dr. Jeong Ji-hoon [Part 2]	NA
Yrs3uCUB-qE	Why Jensen Huang, who once said quantum computing was impossible, invested so much money | Dr. Je...	NA
xZlCvQcRy-w	Why Oracle's Stock Surge Is So Positive for the AI ​​Market | Z1 News, Week 2 of September	NA
yi6w3yyaod4	Why You Should Triple Your US Stock Investment | Chae Bu-sim (Chae Sang-wook), CEO [Full Video]	NA
20R1yOZuKBs	[Breaking News] The employment index shock, there's something else that's really important!	NA
ao_5tMMkmDU	Here's a selection of 10 "immigrant stocks" that are trending in the US | Kim Ki-hoon, CEO of Sto...	NA
VTK1GnIHuP0	lie	NA
HS_PU0IwbPQ	[Breaking News] Trump's Reason for Pushing Coins: "I Had No Choice"	NA
YPJ0S9mxeX8	1조 달러 보상받는 머스크, 제가 테슬라 들고있는 이유ㅣ9월 2주 주간뉴스	NA
nysTDmKGZBQ	Why a Big Money-Making Opportunity Arrives at the End of This Year⎮ Monthly Asin September Full V...	NA
iSAzlxNUVtg	Ethereum	NA
vfKkvidEoNY	0.1% investment community	NA
idT1UuDvRhs	Only those who watch this video can make money with this stock | Vista Asset Management Manager K...	NA
_U4m2Dkv858	부동산 패악질의 역사, 이제는 끝내야만 하는 이유ㅣ채부심(채상욱) 대표 [2부]	NA
m3PF0pay_Rs	노후대비용 부동산, 절대로 하지 마세요ㅣ채부심(채상욱) 대표 [1부]	NA
48NsQtm0Iag	I don't know why Trump pulled out the War Department card at this point.	NA
6Ck7pUFOKa0	[Breaking News] Concerns about a US recession are rising. What are your investment strategies?	NA
Qn5YGkhX6jY	[Breaking News] Shocking employment figures! But why is the Nasdaq rising?	NA
owsK5e_En4w	10 Recommended Stocks, No Matter What | Kim Ki-hoon, CEO of Stock Daily Channel [Part 2]	NA
SwKQQll5mZo	이미 많이 오른 주식? 이런 건 사도 됩니다ㅣ김기훈 주식일타 채널 대표 [1부]	NA
BrE_mAVUucs	Google? Apple? Hmm... I like this guy...ㅣSeptember 1st Weekly Overseas News	NA
Opf7JTqG_kI	Is the stock market overvalued? Or in a bubble? | Lee Seon-yeop, CEO of AFW Partners [Part 2]	NA
sHITybTfxRs	Finding the Next Leader in a Changing World | Lee Seon-yeop, CEO of AFW Partners [Part 1]	NA
0p20tYq4Tsc	The Roots of the Ideology That Has Dominated America for 250 Years Are Changing | By Lee Byeong-h...	NA
oC9TACz5ryk	A world without work	NA
gxJF2gHBDmk	[Breaking News] Three Reasons for the U.S. Stock Market's Plunge	NA
8vqecjTE-jE	The End of the Jobs Era: Now Comes the Era of Kap | By Lee Byeong-han [Part 4]	NA
ItzFVlHv02U	AI is trickling down. Why a "big opportunity" is coming at the end of the year ⎮ Monthly Asin, Se...	NA
ni_iBdRrSkU	Goldman Sachs' HBM oversupply theory? Don't invest after reading this report. Monthly Asin, Septe...	NA
QJXy6MOeDWs	내년 상반기까지 AI 투자 사이클이 길어진 '이유' ⎮ 월간아신 9월 1부 [IT의신 이형수 대표]	NA
-j0DPzS--L8	A new city is born. Musk's chilling plan | By Lee Byeong-han [Part 3]	NA
-8JrAGnFE0w	Something unusual seems to be happening in the United States | Weekly News, September 1	NA
LfwlgOuDL4w	The Most Undervalued Stock in South Korea | Vista Asset Management Manager Kim Kyu-sik (Attorney)...	NA
KufYaCLbEVs	Introducing a Secret Pot of Secrets | Vista Asset Management Manager Kim Kyu-sik (Attorney) [Part 1]	NA
K01r5pxrRgo	Why Democracy Is Killing Geniuses | By Lee Byeong-han [Part 2]	NA
ubJFPw0mudw	Tesla 2	NA
EtgB893oERo	Is Trump a Puppet?! The Real Architects of America 2.0 | By Lee Byeong-han [Part 1]	NA
3eHLRnTVAIk	이더리움에 대해 한말씀 올리겠습니다ㅣ모라구효	NA
4xucQPtBR7U	NVIDIA: Why the Future is More Expected | August 4th Weekly News	NA
5YJjpp9YPV8	Tech Power vs. Financial Power	NA
prQNrRXuoi4	[Breaking News] I'd like to share my thoughts on the tense South Korea-U.S. summit.	NA
NjFGPc22Lxs	"The Humiliation of Jackson Hole" | Weekly News for the 4th Week of August	NA
VVatOXDxpoA	Will the stock market soar after the National Assembly passes the "stronger" Commercial Act amend...	NA
X14AUe95VVA	Americanism	NA
giw_nCqYiG0	Did the Rothschilds Aid the Japanese Colonial Period? | Lee Hyo-seok Academy Original, Professor ...	NA
IrOSkvA_doc	[Breaking News] Key Summary of the Jackson Hole Meeting Commentary	NA
wzHKphMFpaI	There's a wall AI must overcome | Kim Dante [Full Video]	NA
gxurXFIYvjM	A Global IB's Outlook on the Jackson Hole Meeting	NA
ZC7vz3FJ1Ik	Preview of the Jackson Hole meeting tomorrow	NA
s5Yrs7oLN3s	Palantir's -10% plunge: Is it a Black Friday or a downfall? | Week 3 of August: Overseas News	NA
_ABO6a9R8JM	PBR 10x?	NA
5QTBiPX5ECM	[Breaking News] Palantir's Stock Price Plummeted Last Night: Here's What I Think	NA
uQvySjqtvRQ	영국의 식민지에서 최강대국 반열에 오른 미국 건국 요약ㅣ이효석아카데미 오리지날, 김주만 타우슨 대학교 교수 [미국편 풀영상]	NA
DPe8DGj2XtM	Why is America like this? "It's always been this way." | Weekly News, Week 3, August	NA
_KuvDHDtljY	[Breaking News] Howard Marks: "It's Time to Sell Expensive Stocks"	NA
ACqF0x2DHHA	What is American Federalism? | Professor Kim Joo-man, Towson University [Part 5]	NA
38SQCxxOPsY	The Misunderstood American Identity | Professor Kim Joo-man, Towson University [Part 4]	NA
SpHaYX1HLz8	Good Bye 파월	NA
XWBvLa_ummg	[Breaking News] The gurus are on the move! Which stocks are they buying and selling?	NA
gwGJ7252akg	조선을 바꾸려다 미국인이 된 남자들ㅣ이효석아카데미 오리지날, 김주만 타우슨 대학교 교수	NA
TCdVhcF7FSU	[Breaking News] Are Wall Street fund managers already preparing for a bubble?	NA
0Yx_FX1wJBs	팔란티어 적정주가를 생각하는 방법ㅣ정주용 그래비티벤처스 CIO [풀영상]	NA
wftmFvtuRq4	How can you make any progress with 50 first kisses? | Kim Dante [Part 2]	NA
FKoWpGGPk7s	I understand why Sam Altman was so scared of GPT-5. [Part 1]	NA
omZpn93zWps	Why You Should Invest in Top Companies | Weekly News for the Second Week of August	NA
XjXFLvYwU68	[Breaking News] Bitcoin and Ethereum Reach New Highs! How Should You Invest Now?	NA
-Mf7vgU8_uI	The answer to the question, "What are you buying now?"	NA
ZUBQBM2K6xM	Here's another reason to keep collecting Bitcoins | Moraguhyo	NA
-UMB_iqTD50	Korea's AI Market Ranks Third: Realistic AI Survival Guide | Hanyang University Professor's White...	NA
L6388TBfHKU	From Tesla to Apple? Samsung Electronics is getting a lot of love! Should I buy now? | Week 1 of ...	NA
Ji_zTezdpdY	The AI that Creates AI: It's Scary | Jung Joo-yong, CIO, Gravity Ventures [Part 2]	NA
CiTqF4DCOpk	Why Palantir is Unrivaled | Jung Joo-yong, CIO, Gravity Ventures [Part 1]	NA
Qgy4DoT4vsU	American AI Keeps Its Heads Close, Chinese AI Reveals Its Full Coverage | Hanyang University Prof...	NA
IMV--w-g8oQ	China's AI Industry Is Running Wild, Why the Korean Media Is Quiet | Professor Baek Seo-in of Han...	NA
IrcOOWT7ZF0	Why Korean Universities Teach Classes in Chinese | Professor Baek So-in, Hanyang University [Part 1]	NA
iczQ_yOxv0M	Why are stocks a windfall?	NA
SKAkotsoMvs	[Breaking News] Palantir's Breaking Performance: A Word from CEO Alex Karp	NA
PNxZq8_Mmm4	Bloomberg: "Trump's actions are the actions of a failing hegemon."	NA
XvwFenv6Pgo	[Breaking News] 100,000 people signed a petition opposing major shareholders! Let's not be compla...	NA
EEWgoveGoNc	Tesla and Elon Musk: Putting Samsung to the Test | Dr. Ji-Hoon Jeong, General Partner, ASIA2G Cap...	NA
kLQme27vXSE	Successful Investment Tips You Must Remember	NA
csIGLKxo_z8	Why Has There Never Been a Coup in the United States? | Professor Kim Joo-man, Towson University ...	NA
ApeJCb7nCA0	Why Did George Washington Become President Instead of King? | Professor Kim Joo-man, Towson Unive...	NA
4UgBAkuhKso	It's like sprinkling ashes on cooked rice and pouring cold water on it.	NA
G36J9ruys8Q	[Breaking News] Nasdaq plunges 2.2%. Here's how to respond.	NA
